delta_G,repeat,average_cost,num_iters,time
25.262020202020203,1.0,409.8487445682237,45.822916666666664,25.93112587928772
25.262020202020203,2.0,410.4328780538778,56.854166666666664,31.34314799308777
25.262020202020203,3.0,493.9369341728008,65.14583333333333,30.77912998199463
25.262020202020203,4.0,489.02108481203976,51.697916666666664,27.168594121932983
25.262020202020203,5.0,494.6532589613591,64.34375,28.04230785369873
25.262020202020203,6.0,494.6050798409037,66.10416666666667,29.477058172225952
25.262020202020203,7.0,490.0016962038123,60.6875,30.61237406730652
25.262020202020203,8.0,405.18423033183063,47.166666666666664,31.71409296989441
25.262020202020203,9.0,493.8670752457545,64.08333333333333,31.63079285621643
25.262020202020203,10.0,490.1595889825752,62.46875,32.78252601623535
30.312424242424242,1.0,489.4420262076145,54.770833333333336,28.89556884765625
30.312424242424242,2.0,494.0139801970034,65.35416666666667,33.04593586921692
30.312424242424242,3.0,488.9899601588434,56.010416666666664,30.930370092391968
30.312424242424242,4.0,432.07195819838125,44.947916666666664,28.556331872940063
30.312424242424242,5.0,352.17447698368727,47.53125,29.648875951766968
30.312424242424242,6.0,493.77195245729837,64.625,31.427438974380493
30.312424242424242,7.0,409.7275186387734,48.0625,26.18010401725769
30.312424242424242,8.0,493.8942010442177,62.21875,30.3211669921875
30.312424242424242,10.0,415.4839695373588,68.39583333333333,35.71936321258545
35.36282828282828,1.0,489.1226428048334,52.96875,28.1111900806427
35.36282828282828,2.0,494.0312498686756,61.645833333333336,29.684849977493286
35.36282828282828,3.0,489.40537885807873,50.583333333333336,26.757634162902832
35.36282828282828,4.0,490.14089985301746,62.260416666666664,33.110641956329346
35.36282828282828,5.0,488.94009883141126,54.239583333333336,28.7877779006958
35.36282828282828,6.0,409.5139387398384,47.697916666666664,29.553375005722046
35.36282828282828,7.0,489.7055857341462,60.3125,33.18122482299805
35.36282828282828,8.0,489.38414595591365,54.8125,29.39653491973877
35.36282828282828,9.0,489.3764515773455,51.28125,26.89207887649536
35.36282828282828,10.0,493.8510274452382,63.614583333333336,31.909295082092285
40.41323232323232,1.0,437.6989398069416,58.739583333333336,33.60302996635437
40.41323232323232,2.0,494.42388893574105,62.083333333333336,28.40154790878296
40.41323232323232,3.0,491.938920019904,64.84375,31.315693140029907
40.41323232323232,4.0,489.4371650713586,51.90625,28.565324068069458
40.41323232323232,5.0,488.81958013883485,55.572916666666664,30.725971937179565
40.41323232323232,6.0,493.74115796164523,60.03125,31.20913791656494
40.41323232323232,7.0,495.0497094961212,69.8125,32.04089593887329
40.41323232323232,8.0,493.85600219003027,63.135416666666664,32.15475296974182
40.41323232323232,9.0,489.21216889225826,55.84375,29.678128957748413
40.41323232323232,10.0,410.78939567566385,62.4375,33.23256802558899
45.46363636363636,1.0,494.8541726076243,68.0,31.152851104736328
45.46363636363636,2.0,414.5658005967727,59.354166666666664,32.95307898521423
45.46363636363636,3.0,494.95242646507523,69.29166666666667,31.272695064544678
45.46363636363636,4.0,409.7448124452574,54.28125,30.47714114189148
45.46363636363636,5.0,489.8260249038508,62.760416666666664,31.12370491027832
45.46363636363636,6.0,414.212533748229,62.677083333333336,32.62873816490173
45.46363636363636,7.0,410.2048769957143,45.46875,26.443629026412964
45.46363636363636,8.0,489.37907341026477,51.947916666666664,29.401998043060303
45.46363636363636,9.0,489.2638707441016,54.875,31.280848026275635
45.46363636363636,10.0,489.1034496536942,49.708333333333336,26.165612936019897
50.5140404040404,1.0,489.3403803232824,57.854166666666664,31.494969844818115
50.5140404040404,2.0,414.3545709071066,60.427083333333336,33.030696868896484
50.5140404040404,3.0,490.1257672346559,61.385416666666664,30.73357892036438
50.5140404040404,4.0,489.22441904243607,59.947916666666664,32.63253211975098
50.5140404040404,5.0,487.2292157512764,51.010416666666664,28.219953060150146
50.5140404040404,6.0,489.112353714033,48.71875,26.739073038101196
50.5140404040404,7.0,489.08483442838843,54.041666666666664,29.99346113204956
50.5140404040404,8.0,489.24086620940705,55.145833333333336,30.771464109420776
50.5140404040404,9.0,494.0374514113526,59.875,30.095128059387207
50.5140404040404,10.0,488.91616432852186,39.177083333333336,22.99959397315979
55.56444444444445,1.0,494.0721552708055,60.125,31.981518983840942
55.56444444444445,2.0,493.9594993344046,62.53125,32.50696110725403
55.56444444444445,3.0,484.7159186248576,47.541666666666664,32.420835971832275
55.56444444444445,4.0,470.1259614355091,51.3125,31.495625972747803
55.56444444444445,5.0,413.59854267495865,49.229166666666664,28.354534149169922
55.56444444444445,6.0,494.9044331127232,68.84375,30.524461030960083
55.56444444444445,7.0,488.92155488240786,51.9375,29.80276918411255
55.56444444444445,8.0,493.63059228334475,61.052083333333336,31.93346381187439
55.56444444444445,9.0,493.51907551492314,45.541666666666664,23.613108158111572
55.56444444444445,10.0,484.883184667096,42.583333333333336,27.394198894500732
60.61484848484849,1.0,478.06980847173816,58.989583333333336,31.408626079559326
60.61484848484849,2.0,489.3692815435521,52.614583333333336,29.616245985031128
60.61484848484849,3.0,493.842757185543,64.17708333333333,31.132057905197144
60.61484848484849,4.0,489.2237914501271,52.104166666666664,28.86277985572815
60.61484848484849,5.0,494.7087113015169,63.635416666666664,29.457370042800903
60.61484848484849,6.0,493.8870848327245,64.64583333333333,32.57788896560669
60.61484848484849,7.0,494.8200593406078,68.25,30.61173415184021
60.61484848484849,8.0,409.8036455720165,51.333333333333336,31.29267692565918
60.61484848484849,9.0,494.49563754885395,65.0625,30.406419038772583
60.61484848484849,10.0,489.9231882247027,66.16666666666667,34.58003211021423
65.66525252525253,1.0,494.4648585647422,66.86458333333333,29.66764497756958
65.66525252525253,2.0,489.7785186343473,61.260416666666664,31.080750942230225
65.66525252525253,3.0,410.5047941834599,57.75,32.45031499862671
65.66525252525253,4.0,405.5133840721833,43.458333333333336,25.83111596107483
65.66525252525253,5.0,431.993315167133,48.052083333333336,28.74588894844055
65.66525252525253,6.0,492.83459854547453,62.697916666666664,32.05713391304016
65.66525252525253,7.0,494.0084919047498,59.9375,29.9490749835968
65.66525252525253,8.0,409.4741978219252,49.489583333333336,28.99065399169922
65.66525252525253,9.0,489.35327717676137,56.145833333333336,33.75590109825134
65.66525252525253,10.0,493.7753955806962,62.541666666666664,30.50236487388611
70.71565656565656,1.0,493.77858464362,57.875,28.723896980285645
70.71565656565656,2.0,493.78329682372834,63.53125,31.8515567779541
70.71565656565656,3.0,493.887146758026,61.125,31.283425092697144
70.71565656565656,4.0,409.545963852083,49.895833333333336,30.52754807472229
70.71565656565656,5.0,493.8885694281136,65.25,33.545520067214966
70.71565656565656,6.0,494.84313997551163,67.95833333333333,30.130954027175903
70.71565656565656,7.0,493.9532608646753,62.21875,30.7430419921875
70.71565656565656,8.0,489.29280649429256,56.166666666666664,30.502676010131836
70.71565656565656,9.0,494.8797934593466,68.33333333333333,30.64711308479309
70.71565656565656,10.0,493.59939454166704,63.666666666666664,31.661184072494507
75.7660606060606,1.0,495.00929471767193,72.80208333333333,31.589143991470337
75.7660606060606,2.0,494.05047340493456,62.65625,30.462915897369385
75.7660606060606,3.0,473.91421041708725,71.86458333333333,35.74965691566467
75.7660606060606,4.0,489.34233082784857,60.34375,32.15882086753845
75.7660606060606,5.0,489.35282904886856,52.895833333333336,28.474061965942383
75.7660606060606,6.0,493.59716174667983,57.291666666666664,28.374598026275635
75.7660606060606,7.0,493.58221781712234,48.177083333333336,26.767005920410156
75.7660606060606,8.0,489.3374686506286,50.958333333333336,28.30693006515503
75.7660606060606,9.0,493.707458598019,60.760416666666664,28.938276052474976
75.7660606060606,10.0,493.9976801058315,64.375,30.207653999328613
80.81646464646465,1.0,489.2277952880768,56.916666666666664,31.890037059783936
80.81646464646465,2.0,493.75829415690407,61.84375,30.57349991798401
